交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
88,空头出场,2025-11-11 17:02,✅移动止盈,4125.77,1,4124.79,-0.98,-0.02,4.68,0.11,-1,-0.02,333.36,0.03
88,空头进场,2025-11-11 16:02,①挂空,4124.79,1,4124.79,-0.98,-0.02,4.68,0.11,-1,-0.02,333.36,0.03
89,空头出场,2025-11-13 20:02,✅移动止盈,4202.48,1,4203.39,0.91,0.02,10.05,0.24,0,0.00,334.27,0.03
89,空头进场,2025-11-13 19:02,①挂空,4203.39,1,4203.39,0.91,0.02,10.05,0.24,0,0.00,334.27,0.03
90,多头出场,2025-11-19 15:02,✅移动止盈,4100.8,1,4050.49,50.31,1.24,69.35,1.71,-10.07,-0.25,384.58,0.04
90,多头进场,2025-11-18 15:02,①挂多,4050.49,1,4050.49,50.31,1.24,69.35,1.71,-10.07,-0.25,384.58,0.04
91,空头出场,2025-11-21 08:02,✅移动止盈,4057.79,1,4043.78,-14.01,-0.35,3.73,0.09,-14.17,-0.35,370.57,0.04
91,空头进场,2025-11-21 07:02,①挂空,4043.78,1,4043.78,-14.01,-0.35,3.73,0.09,-14.17,-0.35,370.57,0.04
92,多头出场,2025-11-21 20:02,✅移动止盈,4078.33,1,4064.69,13.64,0.34,36.35,0.89,-9.49,-0.23,384.21,0.04
92,多头进场,2025-11-21 15:02,①挂多,4064.69,1,4064.69,13.64,0.34,36.35,0.89,-9.49,-0.23,384.21,0.04
93,多头出场,2025-11-25 01:02,✅移动止盈,4125.5,1,4077.89,47.61,1.17,66.53,1.63,-9.42,-0.23,431.82,0.04
93,多头进场,2025-11-24 15:02,①挂多,4077.89,1,4077.89,47.61,1.17,66.53,1.63,-9.42,-0.23,431.82,0.04
94,多头出场,2025-11-28 10:02,✅移动止盈,4165.58,1,4152.03,13.55,0.33,41.06,0.99,-24.5,-0.59,445.37,0.04
94,多头进场,2025-11-25 19:02,①挂多,4152.03,1,4152.03,13.55,0.33,41.06,0.99,-24.5,-0.59,445.37,0.04
95,空头出场,2025-12-15 19:02,✅移动止盈,4295.56,1,4288.57,-6.99,-0.16,3.29,0.08,-6.99,-0.16,438.38,0.04
95,空头进场,2025-12-15 18:02,①挂空,4288.57,1,4288.57,-6.99,-0.16,3.29,0.08,-6.99,-0.16,438.38,0.04
